"url","nombreFinal","ext","alt","nUsos","usos"
"https://cdn.prod.website-files.com/6022af993a6b2191db3ed10c/628298b20ae0236682d4b87f_Play-24.svg","play-24.svg","svg","Pause video","1","vivo:country_custom-pool-builders-alachua-county-fl.html"
"https://cdn.prod.website-files.com/6022af993a6b2191db3ed10c/628299f8aa233b83918e24fd_Pause.svg","pause.svg","svg","","1","vivo:country_custom-pool-builders-alachua-county-fl.html"
"https://cdn.prod.website-files.com/68236ade63ce8f10f54939cb/6841efa48def69660e6eb254_Black.svg","black.svg","svg","","8","html:about.html | html:detail_country.html | html:detail_pool-builders.html | html:detail_services.html | html:detail_services.html | html:detail_where-we-serves.html | html:index.html | html:request-estimated.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/692d0e062103e720d23fa2c1_Logo%20MR%20%26%20MR.svg","logo-mr-mr.svg","svg","","149","html:about.html | html:blogs-tips.html | html:contact-us.html | html:detail_articles.html | html:detail_blogs.html | html:index.html | html:industry-solutions.html | html:pool-cost-estimator.html | html:projects.html | html:testimonials.html | html:videos.html | html:where-we-serve.html | vivo:about.html | vivo:about.html | vivo:articles_accessibility.html | vivo:articles_accessibility.html | vivo:articles_privacy-policy.html | vivo:articles_privacy-policy.html | vivo:articles_terms-conditions.html | vivo:articles_terms-conditions.html | vivo:blogs-tips.html | vivo:blogs-tips.html | vivo:blogs_commercial-pool-construction-in-florida-what-decision-makers-must-know.html | vivo:blogs_commercial-pool-construction-in-florida-what-decision-makers-must-know.html | vivo:blogs_common-pool-construction-mistakes-we-see-in-florida.html | vivo:blogs_common-pool-construction-mistakes-we-see-in-florida.html | vivo:blogs_complete-guide-to-pool-construction-in-florida-costs-timeline-process.html | vivo:blogs_complete-guide-to-pool-construction-in-florida-costs-timeline-process.html | vivo:blogs_how-outdoor-living-spaces-increase-property-value-in-florida.html | vivo:blogs_how-outdoor-living-spaces-increase-property-value-in-florida.html | vivo:blogs_new-pool-construction-vs-pool-remodeling-which-is-right-for-you.html | vivo:blogs_new-pool-construction-vs-pool-remodeling-which-is-right-for-you.html | vivo:blogs_outdoor-living-design-guide-for-florida-homes.html | vivo:blogs_outdoor-living-design-guide-for-florida-homes.html | vivo:blogs_pool-construction-timeline-in-florida-what-to-expect-from-start-to-finish.html | vivo:blogs_pool-construction-timeline-in-florida-what-to-expect-from-start-to-finish.html | vivo:blogs_residential-vs-commercial-pool-construction-in-florida.html | vivo:blogs_residential-vs-commercial-pool-construction-in-florida.html | vivo:blogs_top-10-luxury-pool-designs-for-florida-homes.html | vivo:blogs_top-10-luxury-pool-designs-for-florida-homes.html | vivo:blogs_what-permits-are-required-for-pool-construction-in-florida.html | vivo:blogs_what-permits-are-required-for-pool-construction-in-florida.html | vivo:brochures.html | vivo:contact-us.html | vivo:contact-us.html | vivo:country_custom-pool-builders-alachua-county-fl.html | vivo:country_custom-pool-builders-broward-county-fl.html | vivo:country_custom-pool-builders-columbia-county-fl.html | vivo:country_custom-pool-builders-dixie-county-fl.html | vivo:country_custom-pool-builders-gilchrist-county-fl.html | vivo:country_custom-pool-builders-levy-county-fl.html | vivo:country_custom-pool-builders-marion-county-fl.html | vivo:country_custom-pool-builders-palm-beach-county-fl.html | vivo:country_custom-pool-builders-putnam-county-fl.html | vivo:gallery.html | vivo:index.html | vivo:index.html | vivo:industry-solutions.html | vivo:industry-solutions.html | vivo:pool-builders_alachua-florida.html | vivo:pool-builders_archer-florida.html | vivo:pool-builders_atlantis-florida.html | vivo:pool-builders_beach-florida.html | vivo:pool-builders_boca-raton-florida.html | vivo:pool-builders_boynton-beach-florida.html | vivo:pool-builders_cedar-key-florida.html | vivo:pool-builders_chiefland-florida.html | vivo:pool-builders_cross-city-florida.html | vivo:pool-builders_dania-beach-florida.html | vivo:pool-builders_davie-florida.html | vivo:pool-builders_deerfield-beach-florida.html | vivo:pool-builders_delray-beach-florida.html | vivo:pool-builders_fanning-springs-florida.html | vivo:pool-builders_fort-lauderdale-florida.html | vivo:pool-builders_gainesville-florida.html | vivo:pool-builders_gulf-stream-florida.html | vivo:pool-builders_hallandale-beach-florida.html | vivo:pool-builders_hawthorne-florida.html | vivo:pool-builders_high-springs-florida.html | vivo:pool-builders_hollywood-florida.html | vivo:pool-builders_hypoluxo-florida.html | vivo:pool-builders_juno-beach-florida.html | vivo:pool-builders_jupiter-florida.html | vivo:pool-builders_lake-city-florida.html | vivo:pool-builders_lighthouse-point-florida.html | vivo:pool-builders_manalapan-florida.html | vivo:pool-builders_mcintosh-florida.html | vivo:pool-builders_micanopy-florida.html | vivo:pool-builders_miramar-florida.html | vivo:pool-builders_newberry-florida.html | vivo:pool-builders_north-palm-beach-florida.html | vivo:pool-builders_ocala-florida.html | vivo:pool-builders_ocean-ridge-florida.html | vivo:pool-builders_old-town-florida.html | vivo:pool-builders_palatka-florida.html | vivo:pool-builders_palm-beach-gardens-florida.html | vivo:pool-builders_parkland-florida.html | vivo:pool-builders_pembroke-pines-florida.html | vivo:pool-builders_plantation-florida.html | vivo:pool-builders_pompano-beach-florida.html | vivo:pool-builders_reddick-florida.html | vivo:pool-builders_royal-palm-beach-florida.html | vivo:pool-builders_south-palm-beach-florida.html | vivo:pool-builders_southwest-ranches-florida.html | vivo:pool-builders_tequesta-florida.html | vivo:pool-builders_trenton-florida.html | vivo:pool-builders_waldo-florida.html | vivo:pool-builders_wellington-florida.html | vivo:pool-builders_west-palm-beach-florida.html | vivo:pool-builders_weston-florida.html | vivo:pool-builders_williston-florida.html | vivo:pool-builders_wilton-manors-florida.html | vivo:pool-cost-estimator.html | vivo:pool-cost-estimator.html | vivo:project_luxury-pool-motorized-pergola-outdoor-kitchen-north-florida.html | vivo:project_luxury-pool-motorized-pergola-screen-enclosure-north-florida.html | vivo:project_luxury-pool-motorized-pergola-screens-south-florida.html | vivo:project_luxury-pool-pergola-outdoor-kitchen-south-florida.html | vivo:project_luxury-pool-pergola-outdoor-living-south-florida.html | vivo:project_luxury-pool-spa-screen-enclosure-north-florida.html | vivo:project_luxury-pool-spa-with-screen-enclosure-north-florida.html | vivo:project_modern-pool-motorized-pergola-south-florida.html | vivo:project_residential-pool-pergola-outdoor-dining-north-florida.html | vivo:project_south-florida-backyard-pool-wood-pergola.html | vivo:projects.html | vivo:projects.html | vivo:request-estimated.html | vivo:services_custom-aluminum-pergola-builders-in-north-south-florida.html | vivo:services_custom-deck-builders-in-north-south-florida.html | vivo:services_custom-outdoor-kitchens-for-north-south-florida-homes.html | vivo:services_custom-pool-spa-builders-in-north-south-florida.html | vivo:services_motorized-louvered-roof-systems-in-north-south-florida.html | vivo:services_motorized-retractable-screens-in-north-south-florida.html | vivo:services_patio-screen-rooms-enclosures-in-north-south-florida.html | vivo:services_pool-remodeling-renovation-in-north-south-florida.html | vivo:services_pool-screen-enclosures-for-north-south-florida-pools.html | vivo:services_premium-outdoor-furniture-for-north-south-florida-homes.html | vivo:services_professional-landscaping-services-in-north-south-florida.html | vivo:services_smart-irrigation-system-installation-in-north-south-florida.html | vivo:services_smart-soffit-led-lighting-installation-in-north-south-florida.html | vivo:services_steel-building-pole-barn-construction-in-north-south-florida.html | vivo:testimonials.html | vivo:testimonials.html | vivo:videos.html | vivo:videos.html | vivo:where-we-serve.html | vivo:where-we-serve.html | vivo:where-we-serves_custom-pool-builders-north-florida.html | vivo:where-we-serves_custom-pool-builders-south-florida.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/692f68ef65b296af695777d7_WhyChooseUsIMG.webp","whychooseusimg.webp","webp","","2","css:outdoorliving-shared.efeeddf43.min.css | html:estimator/index.C0oxWGe_.css"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/693082a6b43b3dd6d1b91176_Close%20Toggle.svg","close-toggle.svg","svg","","1","vivo:about.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/693082a6be235f5ad3bd93cf_Open%20Toggle.svg","open-toggle.svg","svg","","1","vivo:about.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/69308f485a7ad950b6a2d88c_logo%20White.svg","logo-white.svg","svg","","1","vivo:about.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/69330e57ae3061195db5da98_Phone.svg","phone.svg","svg","","1","vivo:contact-us.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/69330e57d6aa3444fc478873_Mail.svg","mail.svg","svg","","1","vivo:contact-us.html"
