Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Step Image,Metadata Step Image,Service-Reference,Process-Title,Process-Description,Step-Number,Display-Order,Status
Automated Irrigation - Irrigation Assessment & System Design,irrigation-step-1,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57294b,false,false,Wed Apr 29 2026 20:06:30 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:35 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726d2_69f38c24611fd9bc6771bdf7_irrigation-step-1.png,"Our irrigation contractors engineer a precision smart irrigation system customized to your Florida property layout, plant types, and soil conditions for maximum water efficiency.",smart-irrigation-system-installation-in-north-south-florida,Irrigation Assessment & System Design,"<p>Complete property analysis for irrigation needs including plant water requirements, soil type, sun exposure, and existing water features. Irrigreen smart system design with evapotranspiration sensors.</p>",1,1,Published
Automated Irrigation - Smart System Configuration & Zoning,irrigation-step-2,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57294c,false,false,Wed Apr 29 2026 20:06:30 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:35 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726d1_69f38c050906f8927ae47b1b_irrigation-step-2.png,"Irrigation zones are mapped, trenching is planned, and head placement is strategically designed to ensure uniform coverage across your entire Florida landscape with minimal disruption.",smart-irrigation-system-installation-in-north-south-florida,Smart System Configuration & Zoning,"<p>Design of irrigation zones optimized for plant types and soil conditions. Irrigreen app integration for remote monitoring, scheduling flexibility, and water conservation optimization.</p>",2,2,Published
Automated Irrigation - Installation & Permit Compliance,irrigation-step-3,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57294d,false,false,Wed Apr 29 2026 20:06:30 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:35 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726d0_69f38bf835a28ae663808bd5_irrigation-step-3.png,"Licensed contractors install your complete smart irrigation system including underground piping, spray heads, rotor heads, drip emitters, and control wiring to Florida codes.",smart-irrigation-system-installation-in-north-south-florida,Installation & Permit Compliance,"<p>Installation of main lines, zone valves, controller installation, and Irrigreen sensor placement. Verification of water service adequacy and any required utility permits.</p>",3,3,Published
Automated Irrigation - System Activation & Smart Integration,irrigation-step-4,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57294e,false,false,Wed Apr 29 2026 20:06:30 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:35 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726cf_69f38be1fe1bd007cf5228d1_irrigation-step-4.png,"Your smart irrigation controller is programmed with custom zone schedules, run times, and weather-based sensors — delivering intelligent, water-saving performance for your Florida property.",smart-irrigation-system-installation-in-north-south-florida,System Activation & Smart Integration,"<p>Commissioning of all zones with flow testing and pressure verification. Integration with smart home systems, user training on app functionality, and optimization for seasonal adjustments.</p>",4,4,Published
Custom Decks - Site Preparation & Permits,custom-decks-step-3,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57294f,false,false,Wed Apr 29 2026 20:06:31 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:04 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726cc_69f38baa1374bfafcbc34fd5_custom-decks-step-3.png,"A stable, compacted base is leveled using professional-grade sand and compaction materials. Your travertine, paver, or concrete deck is installed with precision for lasting durability.",custom-deck-builders-in-north-south-florida,Site Preparation & Permits,"<p>Verification of permits for deck expansion, utility line marking, site grading, and compacted base preparation. Confirmation of drainage compliance per Florida Building Code.</p>",3,3,Published
Custom Decks - Deck Design & Layout Planning,custom-decks-step-2,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572950,false,false,Wed Apr 29 2026 20:06:31 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:04 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726cd_69f38bbf95fc281b2cdfc8e5_custom-decks-step-2.png,"Existing surfaces are removed, the area is excavated and graded for drainage, and all premium pavers, travertine, or concrete decking materials are ordered for timely delivery.",custom-deck-builders-in-north-south-florida,Deck Design & Layout Planning,"<p>Design of custom deck layout showing material placement patterns, color selections, slope optimization for drainage, and integration with pool/landscape features. 3D renderings provided.</p>",2,2,Published
Custom Decks - Material Selection & Site Assessment,custom-decks-step-1,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572951,false,false,Wed Apr 29 2026 20:06:31 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:04 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726ce_69f38bd38a0b3d2bb309aa8a_custom-decks-step-1.png,"Our deck builders finalize project specifications, prepare all required documentation, and submit permits for approval — every Florida deck project engineered and permitted to code.",custom-deck-builders-in-north-south-florida,Material Selection & Site Assessment,"<p>Comprehensive consultation on decking material options (premium pavers, natural stone, colored concrete, artificial turf) including durability, maintenance, aesthetic appeal, and cost. Site assessment for slope and drainage requirements.</p>",1,1,Published
Custom Decks - Installation & Finishing,custom-decks-step-4,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572952,false,false,Wed Apr 29 2026 20:06:31 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:04 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726cb_69f38b96280147b98e99ef25_custom-decks-step-4.png,"A detailed final walkthrough confirms every surface is perfectly set, edges are clean, and drainage is correct. Your new custom deck in Florida is complete and ready to enjoy.",custom-deck-builders-in-north-south-florida,Installation & Finishing,"<p>Professional installation of selected decking material with proper compaction, alignment, sealing (where applicable), and grouting. Final inspection and customer training on maintenance.</p>",4,4,Published
Landscaping - Landscape Consultation & Site Analysis,landscaping-step-1,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572953,false,false,Wed Apr 29 2026 20:06:46 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:35 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726ca_69f38b87bc093d858fe59534_landscaping-step-1.png,"Our Florida landscaping team collaborates with you to develop a comprehensive design plan — finalizing plant selections, measurements, and project timelines before work begins.",professional-landscaping-services-in-north-south-florida,Landscape Consultation & Site Analysis,"<p>Comprehensive landscape assessment including soil conditions, sunlight exposure, salt-air resilience (South FL), plant selections, and hardscape integration. Climate-appropriate plant recommendations.</p>",1,1,Published
Landscaping - Installation & Establishment,landscaping-step-4,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572954,false,false,Wed Apr 29 2026 20:06:46 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:35 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726e8_69f4cc463e4d7f4a560e4462_landscaping-step-4-v2.png,"A thorough walkthrough verifies plant placement, mulch application, and site cleanliness. Your new Florida landscape is fully inspected and ready to enhance your property value.",professional-landscaping-services-in-north-south-florida,Installation & Establishment,"<p>Full landscape installation including soil preparation, plant installation, hardscape placement, irrigation system installation, and initial maintenance (mulching, staking). Establishment care plan provided.</p>",4,4,Published
