Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Featured Project?,Type,Title SEO,Metadescripcion SEO,Title Page,Project Summary,Main Project Image,Metadata SEO Main Project Image,Gallery,Services Rendered,Design Style,Location
Luxury Pool & Motorized Pergola with Screens South Florida,luxury-pool-motorized-pergola-screens-south-florida,6a8f67a39235e3662e572235,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572793,false,false,Sun Dec 28 2025 18:32:33 GMT+0000 (Coordinated Universal Time),Sun Dec 28 2025 18:32:33 GMT+0000 (Coordinated Universal Time),,true,Residential,Luxury Pool & Motorized Pergola with Screens | South Florida,"Luxury pool with motorized pergola, integrated LED lighting, and retractable screens in South Florida. Designed for comfort and style.",Luxury Pool & Motorized Pergola with Screens in South Florida,"This luxury outdoor living project in South Florida features a custom pool paired with a motorized pergola, integrated LED lighting, and retractable screens. The design creates a shaded, climate-controlled space ideal for entertaining while maintaining a clean, modern architectural look.
",https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57265f_luxury-pool-motorized-pergola-screens-south-florida-1.avif,"Luxury pool with motorized pergola, LED lighting, and retractable screens in a modern South Florida backyard.",https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572665_luxury-pool-motorized-pergola-screens-south-florida-2.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572661_luxury-pool-motorized-pergola-screens-south-florida-3.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572660_luxury-pool-motorized-pergola-screens-south-florida-4.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572662_luxury-pool-motorized-pergola-screens-south-florida-5.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572663_luxury-pool-motorized-pergola-screens-south-florida-6.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572664_luxury-pool-motorized-pergola-screens-south-florida-7.avif,<ul><li>Custom Pool Construction</li><li>Motorized Pergola Installation</li><li>Retractable Screens</li><li>Integrated LED Lighting</li></ul>,Modern Contemporary,South Florida
Luxury Pool & Pergola Outdoor Living South Florida,luxury-pool-pergola-outdoor-living-south-florida,6a8f67a39235e3662e572235,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572794,false,false,Sun Dec 28 2025 18:25:02 GMT+0000 (Coordinated Universal Time),Sun Dec 28 2025 18:25:15 GMT+0000 (Coordinated Universal Time),,true,Residential,Luxury Pool & Pergola Outdoor Living Project | South Florida,Luxury custom pool with integrated spa and aluminum pergola in South Florida. Designed for modern outdoor living and entertaining.,Luxury Custom Pool & Pergola Outdoor Living in South Florida,"This luxury outdoor living project in South Florida features a custom swimming pool with integrated spa, aluminum pergola, and expansive patio. The design balances modern architecture with tropical landscaping, creating a refined outdoor environment for relaxation and entertaining.
",https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572658_luxury-pool-pergola-outdoor-living-south-florida-1.avif,Luxury pool with spa and aluminum pergola surrounded by tropical landscaping in South Florida residential outdoor living project.,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57265d_luxury-pool-pergola-outdoor-living-south-florida-2.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57265c_luxury-pool-pergola-outdoor-living-south-florida-3.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57265e_luxury-pool-pergola-outdoor-living-south-florida-4.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57265a_luxury-pool-pergola-outdoor-living-south-florida-5.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572659_luxury-pool-pergola-outdoor-living-south-florida-6.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57265b_luxury-pool-pergola-outdoor-living-south-florida-7.avif,<ul><li>Custom Pool Construction</li><li>Integrated Spa Design</li><li>Aluminum Pergola Installation</li><li>Outdoor Living Design</li></ul>,Modern Tropical,South Florida
Luxury Pool & Spa with Screen Enclosure North Florida,luxury-pool-spa-screen-enclosure-north-florida,6a8f67a39235e3662e572235,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572795,false,false,Sun Dec 28 2025 18:38:22 GMT+0000 (Coordinated Universal Time),Sun Dec 28 2025 18:42:44 GMT+0000 (Coordinated Universal Time),,false,Residential,Luxury Pool & Spa with Screen Enclosure | North Florida,"Luxury pool and spa with screen enclosure and outdoor kitchen in North Florida. Designed for comfort, privacy, and year-round outdoor living.",Luxury Pool & Spa with Screen Enclosure in North Florida,"This luxury outdoor living project in North Florida features a custom pool and spa enclosed within a full screen structure, paired with a modern outdoor kitchen. The design maximizes comfort, privacy, and protection while creating a functional space ideal for year-round enjoyment.
",https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572666_luxury-pool-spa-screen-enclosure-outdoor-kitchen-florida-1.avif,Luxury pool and spa with screen enclosure and outdoor kitchen in a North Florida backyard.,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57266a_luxury-pool-spa-screen-enclosure-outdoor-kitchen-florida-2.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572668_luxury-pool-spa-screen-enclosure-outdoor-kitchen-florida-3.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572667_luxury-pool-spa-screen-enclosure-outdoor-kitchen-florida-4.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572669_luxury-pool-spa-screen-enclosure-outdoor-kitchen-florida-5.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57266b_luxury-pool-spa-screen-enclosure-outdoor-kitchen-florida-6.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572666_luxury-pool-spa-screen-enclosure-outdoor-kitchen-florida-1.avif,<ul><li>Custom Pool &amp; Spa Construction</li><li>Pool Screen Enclosure</li><li>Outdoor Kitchen Installation</li><li>Paver Pool Deck</li></ul>,Modern Florida,North Florida
Luxury Pool & Spa with Screen Enclosure North Florida,luxury-pool-spa-with-screen-enclosure-north-florida,6a8f67a39235e3662e572235,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572796,false,false,Sun Dec 28 2025 19:02:04 GMT+0000 (Coordinated Universal Time),Sun Dec 28 2025 19:03:56 GMT+0000 (Coordinated Universal Time),,true,Residential,Luxury Pool & Spa with Screen Enclosure | North Florida,"Luxury pool and spa with screen enclosure in North Florida. Designed for privacy, comfort, and year-round outdoor living.",Luxury Pool & Spa with Screen Enclosure in North Florida,"This North Florida outdoor living project features a custom pool and raised spa enclosed within a full screen structure. The design enhances comfort, privacy, and protection while creating a seamless transition between indoor and outdoor living spaces.
",https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572671_luxury-pool-spa-screen-enclosure-north-florida-project-1.avif,Luxury pool and spa with screen enclosure in a modern North Florida backyard.,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572671_luxury-pool-spa-screen-enclosure-north-florida-project-1.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572673_luxury-pool-spa-screen-enclosure-north-florida-project-2.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572672_luxury-pool-spa-screen-enclosure-north-florida-project-3.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572674_luxury-pool-spa-screen-enclosure-north-florida-project-4.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572675_luxury-pool-spa-screen-enclosure-north-florida-project-5.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572676_luxury-pool-spa-screen-enclosure-north-florida-project-6.avif,<ul><li>Custom Pool &amp; Spa Construction</li><li>Pool Screen Enclosure</li><li>Covered Patio Integration</li><li>Paver Pool Deck</li></ul>,Modern Florida,North Florida
Luxury Pool with Motorized Pergola & Outdoor Kitchen,luxury-pool-motorized-pergola-outdoor-kitchen-north-florida,6a8f67a39235e3662e572235,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572797,false,false,Sun Dec 28 2025 18:56:31 GMT+0000 (Coordinated Universal Time),Sun Dec 28 2025 19:26:41 GMT+0000 (Coordinated Universal Time),,true,Residential,Luxury Pool with Motorized Pergola | North Florida,"Luxury pool with motorized pergola and outdoor kitchen in North Florida. Designed for shade, comfort, and premium outdoor living.",Luxury Pool with Motorized Pergola in North Florida,"This North Florida luxury outdoor living project features a custom pool paired with a motorized pergola and integrated outdoor kitchen. The layout provides shade, airflow, and functionality while creating a refined space ideal for entertaining and everyday relaxation.
",https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57266c_luxury-pool-motorized-pergola-outdoor-kitchen-north-florida-1.avif,Luxury pool with motorized pergola and outdoor kitchen in a modern North Florida backyard.,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57266c_luxury-pool-motorized-pergola-outdoor-kitchen-north-florida-1.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57266e_luxury-pool-motorized-pergola-outdoor-kitchen-north-florida-2.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57266f_luxury-pool-motorized-pergola-outdoor-kitchen-north-florida-3.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57266d_luxury-pool-motorized-pergola-outdoor-kitchen-north-florida-4.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572670_luxury-pool-motorized-pergola-outdoor-kitchen-north-florida-5.avif,<ul><li>Custom Pool Construction</li><li>Motorized Pergola Installation</li><li>Outdoor Kitchen</li><li>Integrated LED Lighting</li></ul>,Modern Contemporary,North Florida
Luxury Pool with Motorized Pergola & Screen Enclosure,luxury-pool-motorized-pergola-screen-enclosure-north-florida,6a8f67a39235e3662e572235,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572798,false,false,Sun Dec 28 2025 19:08:44 GMT+0000 (Coordinated Universal Time),Sun Dec 28 2025 19:08:47 GMT+0000 (Coordinated Universal Time),,true,Residential,Luxury Pool with Motorized Pergola | North Florida,"Luxury pool with motorized pergola and screen enclosure in North Florida. Designed for shade, comfort, and premium outdoor living.",Luxury Pool with Motorized Pergola in North Florida,"This North Florida luxury outdoor living project features a custom pool and spa combined with a motorized pergola and full screen enclosure. The design provides shade, airflow, and protection while creating a modern, functional space ideal for entertaining and daily outdoor enjoyment.
",https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572677_luxury-pool-motorized-pergola-screen-enclosure-north-florida-1.avif,Luxury pool with motorized pergola and screen enclosure in a North Florida backyard.,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57267b_luxury-pool-motorized-pergola-screen-enclosure-north-florida-2.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57267d_luxury-pool-motorized-pergola-screen-enclosure-north-florida-3.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572679_luxury-pool-motorized-pergola-screen-enclosure-north-florida-4.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57267c_luxury-pool-motorized-pergola-screen-enclosure-north-florida-5.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572678_luxury-pool-motorized-pergola-screen-enclosure-north-florida-6.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57267a_luxury-pool-motorized-pergola-screen-enclosure-north-florida-7.avif,<ul><li>Custom Pool &amp; Spa Construction</li><li>Motorized Pergola Installation</li><li>Pool Screen Enclosure</li><li>Outdoor Living Area Design</li></ul>,Modern Contemporary,North Florida
"Luxury Pool, Pergola & Outdoor Kitchen South Florida",luxury-pool-pergola-outdoor-kitchen-south-florida,6a8f67a39235e3662e572235,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572799,false,false,Sun Dec 28 2025 18:17:48 GMT+0000 (Coordinated Universal Time),Sun Dec 28 2025 18:25:15 GMT+0000 (Coordinated Universal Time),,true,Residential,"Luxury Pool, Pergola & Outdoor Kitchen Project | South Florida",Luxury custom pool with aluminum pergola and outdoor kitchen in South Florida. Designed and built by licensed outdoor living contractors.,"Luxury Custom Pool, Pergola & Outdoor Kitchen in South Florida","This luxury outdoor living project in South Florida combines a custom swimming pool, modern aluminum pergola, and a fully equipped outdoor kitchen. Designed for comfort and entertaining, the layout delivers a clean, functional, and high-end residential backyard experience.
",https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572651_luxury-pool-pergola-outdoor-kitchen-south-florida-1.avif,Luxury pool with aluminum pergola and outdoor kitchen in South Florida. Clean modern design built for comfort and entertaining.,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572657_luxury-pool-pergola-outdoor-kitchen-south-florida-2.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572655_luxury-pool-pergola-outdoor-kitchen-south-florida-3.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572653_luxury-pool-pergola-outdoor-kitchen-south-florida-4.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572652_luxury-pool-pergola-outdoor-kitchen-south-florida-5.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572654_luxury-pool-pergola-outdoor-kitchen-south-florida-6.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572656_luxury-pool-pergola-outdoor-kitchen-south-florida-7.avif,<ul><li>Custom Pool Construction</li><li>Aluminum Pergola Installation</li><li>Outdoor Kitchen Design &amp; Build</li></ul>,Modern / Contemporary,South Florida
Modern Pool & Motorized Pergola – South Florida,modern-pool-motorized-pergola-south-florida,6a8f67a39235e3662e572235,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57279a,false,false,Sun Dec 28 2025 19:26:31 GMT+0000 (Coordinated Universal Time),Sun Dec 28 2025 19:26:34 GMT+0000 (Coordinated Universal Time),,false,Residential,Modern Pool & Motorized Pergola Project in South Florida,"Modern residential pool with motorized pergola in South Florida, designed for outdoor living, comfort, and year-round usability.",Modern Pool & Outdoor Living Project in South Florida,"This South Florida project features a modern pool paired with a motorized pergola, creating a functional and elegant outdoor living space designed for comfort and style.",https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57268b_modern-pool-motorized-pergola-south-florida-project-1.avif,"Modern South Florida pool with motorized pergola, LED lighting, and sleek patio layout designed for luxury outdoor living.",https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57268b_modern-pool-motorized-pergola-south-florida-project-1.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57268e_modern-pool-motorized-pergola-south-florida-project-2.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57268f_modern-pool-motorized-pergola-south-florida-project-3.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57268d_modern-pool-motorized-pergola-south-florida-project-4.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57268c_modern-pool-motorized-pergola-south-florida-project-5.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572690_modern-pool-motorized-pergola-south-florida-project-6.avif,<ul><li>Custom Pool &amp; Spa Construction</li><li>Motorized Pergola Installation</li><li>Pool Screen Enclosure</li><li>Outdoor Living Area Design</li></ul>,Modern Florida Contemporary,South Florida
Residential Pool with Pergola & Outdoor Dining,residential-pool-pergola-outdoor-dining-north-florida,6a8f67a39235e3662e572235,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57279b,false,false,Sun Dec 28 2025 19:11:44 GMT+0000 (Coordinated Universal Time),Sun Dec 28 2025 19:11:48 GMT+0000 (Coordinated Universal Time),,false,Residential,Residential Pool with Pergola | North Florida,"Residential pool with pergola and outdoor dining area in North Florida. Designed for comfort, shade, and everyday outdoor enjoyment.",Residential Pool with Pergola in North Florida,"This North Florida residential project features a custom pool paired with a pergola-covered outdoor dining area. The layout creates a functional backyard designed for family gatherings, relaxation, and daily outdoor living while maintaining a clean and practical design.
",https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57267e_residential-pool-pergola-outdoor-dining-north-florida-1.avif,Residential pool with pergola and outdoor dining space in a North Florida backyard.,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572684_residential-pool-pergola-outdoor-dining-north-florida-2.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572682_residential-pool-pergola-outdoor-dining-north-florida-3.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572680_residential-pool-pergola-outdoor-dining-north-florida-4.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572683_residential-pool-pergola-outdoor-dining-north-florida-5.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572681_residential-pool-pergola-outdoor-dining-north-florida-6.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57267f_residential-pool-pergola-outdoor-dining-north-florida-7.avif,<ul><li>Custom Pool Construction</li><li>Pergola Installation</li><li>Outdoor Dining Area</li><li>Paver Patio</li></ul>,Classic Florida,North Florida
South Florida Backyard Pool & Wood Pergola Project,south-florida-backyard-pool-wood-pergola,6a8f67a39235e3662e572235,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57279c,false,false,Sun Dec 28 2025 19:21:49 GMT+0000 (Coordinated Universal Time),Sun Dec 28 2025 19:21:52 GMT+0000 (Coordinated Universal Time),,false,Residential,Custom Pool & Wood Pergola Outdoor Living | South Florida,"Custom pool and wood pergola project in South Florida designed for shade, comfort, and luxury outdoor living in tropical conditions.",South Florida Pool & Wood Pergola Outdoor Living,"This South Florida outdoor living project features a custom pool paired with a natural wood pergola. The design enhances shade, comfort, and functionality while adapting to South Florida’s tropical climate and outdoor lifestyle.",https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572685_south-florida-pool-wood-pergola-outdoor-living-1.avif,Backyard pool with natural wood pergola and stone pavers designed for South Florida outdoor living and tropical climate comfort.,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572685_south-florida-pool-wood-pergola-outdoor-living-1.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57268a_south-florida-pool-wood-pergola-outdoor-living-2.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572689_south-florida-pool-wood-pergola-outdoor-living-3.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572686_south-florida-pool-wood-pergola-outdoor-living-4.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572687_south-florida-pool-wood-pergola-outdoor-living-5.avif; https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572688_south-florida-pool-wood-pergola-outdoor-living-6.avif,<ul><li>Custom pool &amp; spa construction</li><li>Motorized pergola installation</li><li>Pool screen enclosure</li><li>Outdoor living area design</li></ul>,Classic Florida,South Florida
